first_order_date,last_order_date,orders,quantity,revenue,postal_code,city,country,today,days_since_order,id,order_ids
2017-07-25 08:03:53,2017-07-25 08:03:53,4,9,40.57,1509GP,Zaandam,NL,2020-06-18 00:00:00,NaT,2239494964570881686,1478727216377870648
2018-02-21 20:40:44,2018-02-21 20:40:44,4,7,93.79,2151KV,Nieuw-Vennep,NL,2020-06-18 00:00:00,NaT,2236530259561204867,7439576930578883431
2017-09-26 08:46:32,2017-09-26 08:46:32,5,6,254.5,7361ET,Beekbergen,NL,2020-06-18 00:00:00,995 ,16345102021806026516,376077500108802426
2017-09-27 15:35:54,2017-09-27 15:35:54,1,1,5.37,6216BW,Maastricht,NL,2020-06-18 00:00:00,994 ,13468216973299895554,975545377752792286
2020-03-10 14:10:00,2020-03-10 14:10:00,1,3,29.0,3024 AC,Rotterdam,NL,2020-06-18 00:00:00,99 ,1535920729230190226,1292319315654061820
2020-03-10 12:31:00,2020-03-10 12:31:00,1,3,29.0,1091 GN,Amsterdam,NL,2020-06-18 00:00:00,99 ,12705440974142990385,11069546246983745194
2017-10-07 07:21:12,2017-10-07 07:21:12,2,2,21.0,1054XR,Amsterdam,NL,2020-06-18 00:00:00,984 ,11394572983796261399,5505578769432713143
2017-10-10 11:29:03,2017-10-10 11:29:03,1,2,6.6,3571PG,Utrecht,NL,2020-06-18 00:00:00,981 ,346945013645234048,9668552043494710430
2020-03-11 17:55:00,2020-03-11 17:55:00,1,4,37.0,1079 TT,Amsterdam,NL,2020-06-18 00:00:00,98 ,4359128224680238555,122495781477083370
2020-03-11 17:22:00,2020-03-11 17:22:00,1,4,37.0,6707 BM,wageningen,NL,2020-06-18 00:00:00,98 ,13373444164884789504,14317093005623099230
2017-10-18 21:38:08,2017-10-18 21:38:08,1,1,14.15,5521SL,Eersel,NL,2020-06-18 00:00:00,973 ,5438540517093064915,14365772238522984900
2017-10-18 11:12:09,2017-10-18 11:12:09,1,1,28.3,2564LB,s-Gravenhage,NL,2020-06-18 00:00:00,973 ,7874353386780082535,8076418742311107000
2017-10-18 11:35:49,2017-10-18 11:35:49,1,1,3.3,1446ET,Purmerend,NL,2020-06-18 00:00:00,973 ,9915480645029816112,5457930859913977195
2017-10-27 22:37:22,2017-10-27 22:37:22,1,1,6.61,2031BJ,Haarlem,NL,2020-06-18 00:00:00,964 ,15459858268282578268,5390173476095124185
2017-10-17 08:01:21,2017-10-30 15:21:55,2,5,11.89,5231AB,s-Hertogenbosch,NL,2020-06-18 00:00:00,961 ,9571302513420156004,1574886305787780124
2017-10-31 13:37:15,2017-10-31 13:37:15,1,2,13.22,4142CL,Leerdam,NL,2020-06-18 00:00:00,960 ,12253154280878216102,1849574821759328627
2017-11-01 16:19:16,2017-11-01 16:19:16,2,2,29.76,3261WC,Oud-Beijerland,NL,2020-06-18 00:00:00,959 ,8389433123821870740,4474699237446686985
2017-11-09 12:44:16,2017-11-09 12:44:16,5,5,37.75,6851LS,Huissen,NL,2020-06-18 00:00:00,951 ,5745376889599413881,13926424469330028106
2017-11-14 22:11:12,2017-11-14 22:11:12,1,1,28.3,2586AT,s-Gravenhage,NL,2020-06-18 00:00:00,946 ,7254526586606125689,13818023090215086427
2017-11-20 07:43:30,2017-11-20 07:43:30,2,2,56.6,1077XX,Amsterdam,NL,2020-06-18 00:00:00,940 ,9840530072383975403,15797485214238822680
2017-11-22 19:28:47,2017-11-22 19:28:47,2,2,56.6,3817SL,Amersfoort,NL,2020-06-18 00:00:00,938 ,7312778851432086180,13707314041011745429
