order_number,quantity,item_set,items
506,1,1,"yerba mate 100 gram, bombilla, kalebas"
513,1,1,"yerba mate 100 gram, bombilla, kalebas"
526,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
527,1,1,"yerba mate 100 gram, bombilla, kalebas"
528,2,1,"yerba mate 100 gram, bombilla, kalebas"
530,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
531,1,1,"yerba mate 100 gram, bombilla, kalebas"
532,1,1,"yerba mate 100 gram, bombilla, kalebas"
533,1,1,"yerba mate 100 gram, bombilla, kalebas"
534,1,1,"yerba mate 100 gram, bombilla, kalebas"
536,1,0,yerba mate & bombilla
537,1,1,"yerba mate 100 gram, bombilla, kalebas"
538,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
539,1,1,"yerba mate 100 gram, bombilla, kalebas"
540,1,1,"yerba mate 100 gram, bombilla, kalebas"
541,1,1,"yerba mate 100 gram, bombilla, kalebas"
542,1,1,"yerba mate 100 gram, bombilla, kalebas"
543,1,1,"yerba mate 100 gram, bombilla, kalebas"
544,1,1,"yerba mate 100 gram, bombilla, kalebas"
545,1,1,"yerba mate 100 gram, bombilla, kalebas"
546,1,1,"yerba mate 100 gram, bombilla, kalebas"
547,1,1,"yerba mate 100 gram, bombilla, kalebas"
548,1,1,"yerba mate 100 gram, bombilla, kalebas"
549,1,1,"yerba mate 100 gram, bombilla, kalebas"
550,1,0,kalebas
551,1,0,bombilla
552,1,1,"yerba mate 100 gram, bombilla, kalebas"
553,1,1,"yerba mate 100 gram, bombilla, kalebas"
554,1,1,"yerba mate 100 gram, bombilla, kalebas"
555,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
556,1,1,"yerba mate 100 gram, bombilla, kalebas"
557,1,1,"yerba mate 100 gram, bombilla, kalebas"
558,1,1,"yerba mate 100 gram, bombilla, kalebas"
559,1,1,"yerba mate 100 gram, bombilla, kalebas"
562,1,0,kalebas
563,1,0,yerba mate
564,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
565,1,1,"yerba mate 100 gram, bombilla, kalebas"
566,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
567,2,1,"mateology - the drink beyond a drink, yerba mate 100 gram, bombilla, kalebas"
568,1,1,"yerba mate 100 gram, bombilla, kalebas"
569,1,1,"yerba mate 100 gram, bombilla, kalebas"
570,1,1,"yerba mate 100 gram, bombilla, kalebas"
571,1,1,"yerba mate 100 gram, bombilla, kalebas"
572,2,1,"yerba mate 100 gram, bombilla, kalebas"
573,1,1,"yerba mate 100 gram, bombilla, kalebas"
574,2,1,"yerba mate 100 gram, bombilla, kalebas"
575,2,1,"yerba mate 100 gram, bombilla, kalebas, yerba mate"
576,1,1,"yerba mate 100 gram, bombilla, kalebas"
577,2,1,"yerba mate 100 gram, bombilla, kalebas"
578,1,1,"yerba mate 100 gram, bombilla, kalebas"
580,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
581,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
582,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
584,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
585,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
586,1,0,yerba mate
587,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
588,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
590,5,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
591,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
592,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
594,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
595,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
596,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
597,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
598,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
599,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
600,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
601,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
602,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
603,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
604,5,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
605,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
606,2,0,"bombilla, kalebas"
607,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
608,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
609,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
610,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
612,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
613,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
614,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
615,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
616,5,2,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas, yerba mate 100 gram, bombilla, kalebas, mateology"
617,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
618,8,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
619,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
620,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
621,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
622,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
625,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
626,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
627,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
628,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
629,5,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
630,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
631,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
632,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
634,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
635,12,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
636,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
637,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
638,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
639,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
640,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
641,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
642,4,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
643,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
645,9,1,"yerba mate 100 gram, bombilla, kalebas, bombilla, yerba mate, kalebas"
646,1,0,yerba mate
647,2,0,"yerba mate, kalebas"
648,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
649,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
650,2,0,yerba mate
651,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
652,2,0,kalebas
653,3,0,"bombilla, yerba mate, kalebas"
654,3,0,"bombilla, yerba mate, kalebas"
655,3,0,"bombilla, yerba mate, kalebas"
656,3,0,"bombilla, yerba mate, kalebas"
657,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
664,3,0,"bombilla, yerba mate, kalebas"
665,3,0,"bombilla, yerba mate, kalebas"
666,3,0,"yerba mate, kalebas"
667,3,0,"bombilla, yerba mate, kalebas"
668,3,0,"bombilla, yerba mate, kalebas"
669,3,0,"bombilla, yerba mate, kalebas"
670,5,0,"bombilla, yerba mate, kalebas"
671,4,0,"bombilla, yerba mate, kalebas"
672,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
673,3,0,"bombilla, yerba mate, kalebas"
674,3,0,"bombilla, yerba mate, kalebas"
675,1,0,kalebas
676,3,0,"bombilla, yerba mate, afrekenen"
677,2,0,yerba mate
678,2,0,"kalebas, bombilla"
680,1,0,yerba mate
681,3,0,"bombilla, yerba mate, kalebas"
682,6,0,"bombilla, yerba mate, kalebas"
684,3,0,"bombilla, yerba mate, kalebas"
685,3,0,"bombilla, yerba mate, kalebas"
686,3,0,"bombilla, yerba mate, kalebas"
687,3,0,"bombilla, yerba mate, kalebas"
688,3,0,"bombilla, yerba mate, kalebas"
696,3,0,"bombilla, yerba mate, kalebas"
697,3,0,"bombilla, yerba mate, kalebas"
698,3,0,"bombilla, yerba mate, kalebas"
699,3,0,"bombilla, yerba mate, kalebas"
700,3,0,"bombilla, yerba mate, kalebas"
702,3,0,"bombilla, yerba mate, kalebas"
705,2,0,"bombilla, kalebas"
706,3,0,"bombilla, yerba mate, kalebas"
707,3,0,"bombilla, yerba mate, kalebas"
708,3,0,"bombilla, yerba mate, kalebas"
710,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
711,3,0,"bombilla, yerba mate, kalebas"
712,6,0,"bombilla, yerba mate, kalebas"
714,4,0,yerba mate
716,3,0,"bombilla, yerba mate, kalebas"
717,3,0,yerba mate
718,4,0,"bombilla, yerba mate, kalebas"
719,4,0,"bombilla, yerba mate, kalebas, mateology - the drink beyond a drink"
720,3,0,"bombilla, yerba mate, kalebas"
721,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
722,3,0,"bombilla, yerba mate, kalebas"
723,4,0,"bombilla, yerba mate, kalebas"
724,3,0,"bombilla, yerba mate, kalebas"
725,3,0,"bombilla, yerba mate, kalebas"
726,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
728,6,0,"bombilla, yerba mate, kalebas"
729,3,0,"bombilla, yerba mate, kalebas"
730,3,0,"bombilla, yerba mate, kalebas"
733,3,0,"bombilla, yerba mate, kalebas"
735,6,0,"bombilla, yerba mate, kalebas"
736,3,0,"bombilla, yerba mate, kalebas"
737,3,0,"bombilla, yerba mate, kalebas"
738,2,0,"kalebas, bombilla"
739,1,0,kalebas
740,1,0,mateology - the drink beyond a drink
741,3,0,"bombilla, yerba mate, kalebas"
742,3,0,"bombilla, yerba mate, kalebas"
743,3,0,"bombilla, yerba mate, kalebas"
744,2,0,"yerba mate, bombilla"
745,3,0,"bombilla, yerba mate, kalebas"
746,4,0,"bombilla, yerba mate, kalebas"
748,3,0,"bombilla, yerba mate, kalebas"
749,3,0,"kalebas, yerba mate, bombilla"
750,4,0,"bombilla, yerba mate, kalebas"
751,3,0,"bombilla, yerba mate, kalebas"
752,4,0,"bombilla, yerba mate, kalebas"
753,3,0,"bombilla, yerba mate, kalebas"
755,6,0,"bombilla, yerba mate, kalebas"
756,3,0,"bombilla, yerba mate, kalebas"
757,1,0,bombilla
758,3,0,"bombilla, yerba mate, kalebas"
759,4,0,"bombilla, yerba mate, kalebas"
760,3,0,"bombilla, yerba mate, kalebas"
761,3,0,"bombilla, yerba mate, kalebas"
762,3,0,"bombilla, yerba mate, kalebas"
763,3,0,"bombilla, yerba mate, kalebas"
764,3,0,"bombilla, yerba mate, kalebas"
765,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
766,1,0,bombilla
767,1,1,"yerba mate 100 gram, bombilla, kalebas, mateology"
768,3,0,"bombilla, yerba mate, kalebas"
769,1,0,kalebas
770,3,0,"bombilla, yerba mate, kalebas"
771,3,0,"bombilla, yerba mate, kalebas"
772,3,0,"bombilla, yerba mate, kalebas"
773,3,0,"bombilla, yerba mate, kalebas"
774,3,0,"bombilla, yerba mate, kalebas"
