"Order Number","Item Name","Item #",Quantity,"Item Cost"
903,"Yerba mate set",1,1," -2"
903,"100 gram",2,1,8
903,Bombilla,3,1,8
903,Kalebas,4,1,15
903,Cadeauverpakking,5,1,1
902,"Yerba mate set",1,1," -2"
902,"100 gram",2,1,8
902,Bombilla,3,1,8
902,Kalebas,4,1,15
901,"Yerba mate set",1,1," -2"
901,"100 gram",2,1,8
901,Bombilla,3,1,8
901,Kalebas,4,1,15
900,"Yerba mate set",1,1," -2"
900,"500 gram",2,1,20
900,Bombilla,3,1,8
900,Kalebas,4,1,15
899,"Yerba mate set",1,1," -2"
899,"500 gram",2,1,20
899,Bombilla,3,1,8
899,Kalebas,4,1,15
898,"Yerba mate set",1,1," -2"
898,"100 gram",2,1,8
898,Bombilla,3,1,8
898,Kalebas,4,1,15
897,"Yerba mate set",1,2," -2"
897,"100 gram",2,2,8
897,Bombilla,3,2,8
897,Kalebas,4,2,15
896,"Yerba mate set",1,1," -2"
896,"500 gram",2,1,20
896,Bombilla,3,1,8
896,Kalebas,4,1,15
895,Kalebas,1,1,15
895,Bombilla,2,1,8
894,"Yerba mate set",1,1," -2"
894,"500 gram",2,2,20
894,Bombilla,3,2,8
894,Kalebas,4,1,15
894,Cadeauverpakking,5,1,1
893,"Yerba mate set",1,1," -2"
893,"500 gram",2,1,20
893,Bombilla,3,1,8
893,Kalebas,4,1,15
892,"Yerba mate set",1,1," -2"
892,"Yerba mate",2,1,8
892,Bombilla,3,1,8
892,Kalebas,4,1,15
890,"Yerba mate set",1,1," -2"
890,"Yerba mate",2,1,8
890,Bombilla,3,1,8
890,Kalebas,4,1,15
889,Kalebas,1,1,15
889,"Yerba mate - 100 gram",2,1,8
888,"Yerba mate set",1,1," -2"
888,"Yerba mate - 100 gram",2,1,8
888,Bombilla,3,1,8
888,Kalebas,4,1,15
887,Bombilla,1,3,8
887,"Yerba mate - 100 gram",2,3,8
886,Kalebas,1,1,15
886,"Yerba mate - 100 gram",2,1,8
886,Bombilla,3,1,8
885,"Yerba mate set",1,1," -2"
885,"Yerba mate - 100 gram",2,1,8
885,Bombilla,3,1,8
885,Kalebas,4,1,15
884,"Yerba mate set",1,1," -2"
884,"Yerba mate - 500 gram",2,1,20
884,Bombilla,3,1,8
884,Kalebas,4,1,15
883,Kalebas,1,3,15
881,"Yerba mate set",1,1," -2"
881,"Yerba mate - 500 gram",2,1,20
881,Bombilla,3,1,8
881,Kalebas,4,1,15
880,"Yerba mate set",1,1," -2"
880,"Yerba mate - 100 gram",2,1,8
880,Bombilla,3,1,8
880,Kalebas,4,1,15
879,"Yerba mate set",1,1," -2"
879,"Yerba mate - 100 gram",2,1,8
879,Bombilla,3,1,8
879,Kalebas,4,1,15
