,ITEM TYPE,ITEM CODE,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,WAREHOUSE SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL SALES,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS,RETAIL TRANSFERS
,,,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum
0,BEER,1001,1.0,2.0,1.2857142857142858,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,BEER,10014,3.0,6.0,4.333333333333333,13.0,0.25,0.5,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0
2,BEER,1002,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BEER,1008,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,BEER,10095,31.0,81.0,56.0,112.0,25.25,46.25,35.75,71.5,58.0,65.0,61.5,123.0
5,BEER,10096,4.0,46.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BEER,10194,1.0,7.83,3.9433333333333334,11.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BEER,10195,1.0,10.0,2.6666666666666665,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BEER,10196,1.0,9.0,3.25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BEER,10200,-1.0,23.0,11.0,22.0,0.5,1.5,1.0,2.0,0.0,3.0,1.5,3.0
10,BEER,10201,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BEER,10212,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BEER,10213,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BEER,10226,0.0,0.0,0.0,0.0,0.16,0.24,0.18666666666666668,0.56,0.0,0.0,0.0,0.0
14,BEER,10227,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,BEER,10248,-1.0,4.0,1.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,BEER,10249,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,BEER,10253,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,BEER,10254,0.0,0.0,0.0,0.0,0.34,0.68,0.51,1.02,0.0,1.0,0.5,1.0
19,BEER,10271,0.0,14.0,8.6,86.0,0.0,8.08,3.346,33.46,0.0,7.0,3.3,33.0
20,BEER,10283,1.0,2.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BEER,10285,0.0,0.0,0.0,0.0,0.08,0.4,0.17285714285714288,1.2100000000000002,0.0,0.0,0.0,0.0
22,BEER,10299,0.0,0.0,0.0,0.0,0.0,0.17,0.0425,0.17,0.0,1.0,0.75,3.0
23,BEER,10302,0.0,5.0,2.6666666666666665,24.0,0.5,5.0,2.5555555555555554,23.0,0.0,5.0,2.3333333333333335,21.0
24,BEER,10306,0.0,6.0,3.0,12.0,0.0,1.0,0.25,1.0,0.0,1.0,0.5,2.0
25,BEER,10310,0.0,3.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BEER,10340,1.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BEER,10345,1.0,5.0,3.6666666666666665,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BEER,10346,0.0,13.0,5.555555555555555,50.0,0.0,2.0,0.4444444444444444,4.0,0.0,2.0,0.4444444444444444,4.0
29,BEER,10349,0.0,0.0,0.0,0.0,0.24,0.4,0.32,0.96,0.0,1.0,0.3333333333333333,1.0
30,BEER,10356,1.0,20.0,10.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,BEER,10360,0.0,1.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,BEER,10370,0.0,7.0,3.575,35.75,0.0,3.0,0.55,5.5,0.0,7.0,1.2,12.0
33,BEER,10394,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,BEER,10395,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,BEER,10400,1.0,4.0,1.7142857142857142,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,BEER,10402,0.0,5.0,2.3333333333333335,7.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0
37,BEER,10403,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,BEER,10405,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,BEER,10406,0.0,6.0,3.4,17.0,0.0,0.5,0.2,1.0,0.0,0.0,0.0,0.0
40,BEER,10407,1.0,9.0,4.428571428571429,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,BEER,10427,0.0,0.0,0.0,0.0,0.17,0.34,0.255,0.51,0.0,0.0,0.0,0.0
42,BEER,10430,0.0,154.0,117.471,1174.71,0.0,53.75,40.0,400.0,32.0,62.0,46.8,468.0
43,BEER,10431,0.0,191.0,132.575,1325.75,0.0,34.25,21.794999999999998,217.95,18.0,33.0,25.5,255.0
44,BEER,10432,33.0,90.0,46.662222222222226,419.96000000000004,0.0,2.5,1.0,9.0,0.0,3.0,1.0,9.0
45,BEER,10433,0.0,29.0,15.428571428571429,108.0,0.25,4.0,1.75,12.25,0.0,5.0,2.0,14.0
46,BEER,10434,0.0,243.0,181.6,1816.0,0.0,93.75,61.30799999999999,613.0799999999999,49.0,96.0,69.2,692.0
47,BEER,10435,0.0,125.0,86.99600000000001,869.96,0.0,37.75,26.599,265.99,15.0,46.0,30.3,303.0
48,BEER,10436,0.0,191.71,137.246,1372.46,0.0,71.49,48.408,484.08,31.0,76.0,51.975,519.75
49,BEER,10437,0.0,53.0,37.058,370.58,0.0,7.25,4.125,41.25,2.0,9.0,4.5,45.0
